docId,filename,0 citr ca contact,1 7 30pm vancouver,2 don people band,3 shit hip don,4 604 talk eclectic,5 music vancouver album,6 music band songs,7 00 00pm cd,8 1 show rock,9 vancouver 10 citr,10 film october september,11 7 vancouver 00,12 1 604 ihe,13 00 pm citr,14 00pm cd www
54,doc280-2012-09-01.txt,0.0028152081455641376,1.034513463009397E-5,0.011255614957604531,9.193488150455244E-4,0.06297123470801468,0.157074841661389,0.2032507429112937,3.1513615095057516E-4,0.13645816330550847,0.38896901648009047,0.03340391144053066,9.564117525501062E-6,1.0691647886315643E-5,6.282077936116798E-4,0.001907972730354756
55,doc109-2015-06-01.txt,0.04882183840110415,8.973878400414138E-6,0.014444998241759491,1.7267622091245585E-5,2.6896675559168545E-4,0.22051828023931036,0.17856365832447638,1.3291011051941474E-5,0.1411703037183143,0.37200063484528134,0.024121488270975676,8.296385764902962E-6,9.274461035309882E-6,2.479116611130257E-5,7.93667873150046E-6
56,doc65-1997-06-01.txt,0.005812044199167507,6.747107690599984E-6,0.09409512173679965,0.007052391837770531,6.68643036074611E-6,0.136142288550562,0.2513177852149211,0.042637525202043884,0.09343037815978171,6.5593534711268116E-6,0.0778406192490115,0.0014401914104655532,0.28868792136745,0.0015177729026206684,5.967277883401764E-6
57,doc49-2003-12-01.txt,7.735219494173943E-4,5.650963107963043E-6,0.14049558976540555,0.02757908888962854,5.600143502256786E-6,0.09377133645539519,0.2899175594346689,0.03352695202064684,0.1538048347768853,5.493711702433313E-6,0.02370572383133536,5.224337548939018E-6,5.840243740583581E-6,1.561130637694948E-5,0.2363819721706378
58,doc374-1985-05-01.txt,2.5626978183664573E-5,1.5648128801537022E-5,0.12994713411300993,3.0110278134324523E-5,1.550740380996625E-5,0.2809775430934069,0.10260722114482734,2.317609438900288E-5,0.09998602717673563,1.5212682630514517E-5,0.05113167712440651,1.4466756428351934E-5,1.6172267370891483E-5,0.33518063723770425,1.3839520161227858E-5
59,doc170-2015-04-01.txt,0.0741761313393268,1.6956727436003726E-4,0.005532028314431599,1.6056611002200278E-5,5.725491090138155E-4,0.2267373750047194,0.15338466432230702,8.99084018137705E-4,0.14449002814644935,0.3625980794798149,0.031135831104832264,7.714544495317338E-6,8.624025491878974E-6,2.648866412192226E-4,7.3800643984296715E-6
60,doc264-1997-09-01.txt,7.5904905176979905E-6,0.004571622392060246,0.07730861761811765,0.00363564381346973,0.004392483159512431,0.11890831858708815,0.1351186693241541,0.04567674006882216,0.08683666880905205,0.0029596154575083846,0.09802215470789509,5.415775818711094E-4,0.4046757066064756,0.016937522746833605,4.0706863662193465E-4
61,doc223-2009-05-01.txt,1.0831769606628449E-4,9.58725261351972E-6,0.051552814828461954,0.014003558921474858,0.26517091099622253,0.17307471635562108,0.23235354247863263,3.846659834984833E-4,0.17675210161292973,0.00288043597594455,0.048553908696041925,0.0028799789639259326,0.0021400908565168478,0.017716261883663667,0.012419107498386026
62,doc316-1998-04-01.txt,8.705600376444697E-5,7.705369758811434E-6,0.09644237718483444,1.4826745709227312E-5,2.3094677821421732E-4,0.14319589108644962,0.27599468494655854,0.12000369694256313,0.11004954492394584,7.490949632268414E-6,0.1032623024076993,7.123644552322748E-6,0.15066825143808482,2.1286794083468525E-5,6.814784149547121E-6
63,doc41-2008-10-01.txt,0.0014414944663344008,1.8752594269726003E-4,0.03535873523651723,1.775714757505372E-5,0.30935558690734927,0.21553707267816383,0.2503982920545829,5.485607849065497E-4,0.11209817088131614,8.971483068917945E-6,0.05440272796079494,8.53158272682177E-6,9.537385773955368E-6,3.820893007607156E-4,0.020244946187431993
